City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keta,5.9179,0.9879,28.29,77,83,5.61,GH,1680381138
1,mahibadhoo,3.7833,72.9667,27.7,76,14,3.92,MV,1680381139
2,qaqortoq,60.7167,-46.0333,-3.87,84,59,1.78,GL,1680381139
3,salalah,17.0151,54.0924,28.05,83,75,4.12,OM,1680381139
4,butaritari,3.0707,172.7902,27.45,75,100,5.67,KI,1680380907
5,bethel,41.3712,-73.414,22.58,57,0,6.17,US,1680381140
6,saint-philippe,-21.3585,55.7679,25.77,83,44,5.28,RE,1680381140
7,kemijarvi,66.7131,27.4306,-6.55,89,34,4.17,FI,1680381140
8,mataura,-46.1927,168.8643,13.04,98,100,2.56,NZ,1680381140
9,bogande,12.9714,-0.1436,32.12,8,100,3.16,BF,1680380908
10,hilo,19.7297,-155.09,28.49,79,75,2.68,US,1680380909
11,qaanaaq,77.484,-69.3632,-23.32,74,7,1.5,GL,1680380909
12,eureka,40.8021,-124.1637,11.48,94,100,1.34,US,1680381075
13,houston,29.7633,-95.3633,32.42,24,0,5.66,US,1680380983
14,busselton,-33.65,115.3333,14.18,90,2,3.35,AU,1680381141
15,flin flon,54.7682,-101.865,-1.09,47,40,4.63,CA,1680380910
16,palmer,42.1584,-72.3287,19.52,75,40,3.6,US,1680380946
17,camacha,33.0833,-16.3333,16.68,82,20,4.63,PT,1680380710
18,ribeira grande,38.5167,-28.7,18.22,88,75,7.15,PT,1680381142
19,kruisfontein,-34.0033,24.7314,15.11,73,1,2.32,ZA,1680381142
20,puerto ayora,-0.7393,-90.3518,30.98,87,89,2.68,EC,1680381143
21,esperance,-33.8667,121.9,17.89,84,100,5.75,AU,1680381143
22,ushuaia,-54.8,-68.3,8.81,57,0,8.23,AR,1680380630
23,alice springs,-23.7,133.8833,15.75,100,100,0.0,AU,1680381059
24,shelburne,44.0787,-80.2041,1.61,97,58,8.31,CA,1680380883
25,okha,53.5739,142.9478,-2.82,92,26,3.59,RU,1680381144
26,iwanai,42.9744,140.5089,3.07,89,65,1.33,JP,1680381144
27,oktyabrskoye,43.0645,44.7417,0.08,93,100,3.0,RU,1680381144
28,charlestown,-32.95,151.6667,15.06,93,35,1.8,AU,1680381145
29,port elizabeth,-33.918,25.5701,20.16,92,20,3.6,ZA,1680381110
30,cidreira,-30.1811,-50.2056,21.73,61,89,6.23,BR,1680380756
31,rikitea,-23.1203,-134.9692,26.74,81,41,6.69,PF,1680380625
32,new norfolk,-42.7826,147.0587,12.18,86,100,0.45,AU,1680381146
33,kouango,4.9934,19.9619,26.04,58,48,1.74,CF,1680381146
34,gueugnon,46.6036,4.0629,8.88,90,99,3.38,FR,1680381146
35,torbay,47.6666,-52.7314,4.86,52,40,7.72,CA,1680381026
36,kiama,-34.6833,150.8667,15.77,92,97,1.34,AU,1680381147
37,tasiilaq,65.6145,-37.6368,-0.91,85,100,1.41,GL,1680381147
38,chokurdakh,70.6333,147.9167,-32.86,100,98,3.11,RU,1680381147
39,alyangula,-13.8483,136.4192,27.03,75,77,1.49,AU,1680380898
40,moron,-34.6534,-58.6198,23.3,63,12,3.28,AR,1680381148
41,oistins,13.0667,-59.5333,27.05,69,20,9.77,BB,1680381148
42,price,39.5994,-110.8107,11.73,37,40,4.63,US,1680381148
43,odweyne,9.4092,45.064,25.24,57,94,1.64,SO,1680381149
44,yetkul,54.8221,61.588,-0.87,82,31,3.84,RU,1680381149
45,namibe,-15.1961,12.1522,24.33,82,98,2.77,AO,1680381149
46,tuktoyaktuk,69.4541,-133.0374,-22.0,71,0,6.17,CA,1680380627
47,alekseyevsk,57.8406,108.3492,-21.21,100,41,0.41,RU,1680380923
48,cape town,-33.9258,18.4232,18.84,82,0,6.17,ZA,1680380924
49,severo-kurilsk,50.6789,156.125,-0.04,94,28,7.0,RU,1680380750
50,vagur,61.4732,-6.8119,6.36,93,100,5.77,FO,1680380925
51,wakkanai,45.4094,141.6739,0.49,85,8,4.65,JP,1680381151
52,byron bay,-28.65,153.6167,15.95,91,19,4.19,AU,1680381151
53,tadine,-21.55,167.8833,26.7,77,6,3.51,NC,1680381152
54,avera,33.194,-82.5271,26.42,48,98,7.55,US,1680381152
55,victoria,22.2855,114.1577,22.03,90,100,4.02,HK,1680381125
56,ust-ilimsk,58.0006,102.6619,-19.41,100,52,0.71,RU,1680381152
57,lorengau,-2.0226,147.2712,26.93,79,99,1.65,PG,1680381153
58,pringsewu,-5.3582,104.9744,22.07,92,85,1.41,ID,1680381153
59,klaksvik,62.2266,-6.589,6.51,95,99,8.28,FO,1680381153
60,port alfred,-33.5906,26.891,19.54,90,37,0.45,ZA,1680381153
61,mehamn,71.0357,27.8492,-3.03,74,100,11.83,NO,1680381154
62,luanda,-8.8368,13.2343,27.0,83,20,2.06,AO,1680380951
63,srednekolymsk,67.45,153.6833,-25.62,99,100,2.9,RU,1680380931
64,quatre cocos,-20.2078,57.7625,26.16,76,9,3.54,MU,1680381154
65,thompson,55.7435,-97.8558,-7.91,35,40,0.0,CA,1680381155
66,ancud,-41.8697,-73.8203,13.48,80,74,2.87,CL,1680381155
67,bendigo,-36.7667,144.2833,6.03,54,10,2.02,AU,1680381156
68,parrita,9.5201,-84.3225,34.59,56,13,2.95,CR,1680381156
69,norman wells,65.282,-126.8329,-10.98,67,100,1.03,CA,1680380932
70,puerto salgar,5.463,-74.6544,32.61,56,28,0.52,CO,1680381158
71,mar del plata,-38.0023,-57.5575,19.01,57,0,5.14,AR,1680381158
72,cherskiy,68.75,161.3,-29.71,100,100,1.95,RU,1680381158
73,jamestown,42.097,-79.2353,8.8,66,100,13.89,US,1680380752
74,narsaq,60.9167,-46.05,1.12,80,75,1.92,GL,1680381159
75,albany,42.6001,-73.9662,22.42,33,0,0.45,US,1680380433
76,east london,-33.0153,27.9116,21.28,84,80,5.17,ZA,1680381159
77,faanui,-16.4833,-151.75,27.9,72,0,3.25,PF,1680381160
78,pisco,-13.7,-76.2167,27.03,69,0,8.23,PE,1680381160
79,hasaki,35.7333,140.8333,13.45,56,62,6.44,JP,1680381161
80,ko samui,9.5357,99.9357,28.05,73,12,4.83,TH,1680380952
81,avarua,-21.2078,-159.775,26.03,89,75,3.09,CK,1680381161
82,ust-kuyga,70.0167,135.6,-33.96,100,99,3.32,RU,1680381161
83,hermanus,-34.4187,19.2345,17.11,83,0,3.96,ZA,1680380630
84,port hedland,-20.3167,118.5667,26.03,83,22,3.09,AU,1680381161
85,punta arenas,-53.15,-70.9167,11.06,62,40,8.23,CL,1680380626
86,yaan,7.3833,8.5667,31.53,42,100,4.43,NG,1680381162
87,beinamar,8.6698,15.3813,30.8,28,10,1.77,TD,1680381162
88,beringovskiy,63.05,179.3167,-9.06,67,79,9.91,RU,1680381162
89,inuvik,68.3499,-133.7218,-14.52,53,20,2.57,CA,1680381163
90,vestmannaeyjar,63.4427,-20.2734,5.55,63,100,10.22,IS,1680381163
91,ndioum,16.5129,-14.6471,34.47,6,0,4.06,SN,1680381163
92,biltine,14.5333,20.9167,27.5,11,55,5.33,TD,1680381163
93,bredasdorp,-34.5322,20.0403,16.32,95,0,2.22,ZA,1680381164
94,isangel,-19.55,169.2667,27.51,78,1,2.09,VU,1680381164
95,kaitangata,-46.2817,169.8464,12.74,95,68,3.4,NZ,1680380937
96,castro,-24.7911,-50.0119,21.12,77,49,0.9,BR,1680381164
97,kodiak,57.79,-152.4072,2.73,41,0,13.89,US,1680381164
98,ponta do sol,32.6667,-17.1,22.62,67,1,3.01,PT,1680381164
99,locharbriggs,55.1034,-3.5844,7.2,83,100,1.96,GB,1680381165
100,fare,-16.7,-151.0167,28.04,74,13,4.32,PF,1680381165
101,ust-nera,64.5667,143.2,-13.39,97,100,1.98,RU,1680381165
102,bonga,7.2833,36.2333,16.14,97,99,1.75,ET,1680381165
103,zhigansk,66.7697,123.3711,-24.97,100,93,5.06,RU,1680381165
104,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1680380939
105,mahebourg,-20.4081,57.7,26.25,78,20,2.06,MU,1680380627
106,tena,-0.9833,-77.8167,25.89,81,79,1.51,EC,1680381166
107,flinders,-34.5833,150.8552,15.66,89,96,1.79,AU,1680381166
108,bluff,-46.6,168.3333,13.22,74,100,7.06,NZ,1680381166
109,peruibe,-24.32,-46.9983,23.38,91,95,3.48,BR,1680381167
110,saint anthony,45.0205,-93.218,3.03,63,0,2.57,US,1680381023
111,severodvinsk,64.5635,39.8302,-8.94,97,89,1.91,RU,1680381167
112,kapaa,22.0752,-159.319,23.18,91,100,3.09,US,1680381167
113,jyvaskyla,62.2415,25.7209,-4.81,84,0,3.6,FI,1680381168
114,hobart,-42.8794,147.3294,12.37,80,75,4.12,AU,1680380940
115,sur,22.5667,59.5289,26.68,62,5,4.32,OM,1680380940
116,geraldton,-28.7667,114.6,18.23,94,64,0.0,AU,1680381168
117,pevek,69.7008,170.3133,-23.74,94,100,4.79,RU,1680381168
118,ndele,8.4109,20.6473,27.55,16,83,2.11,CF,1680381168
119,hobyo,5.3505,48.5268,28.6,75,84,6.15,SO,1680381169
120,yar-sale,66.8333,70.8333,1.04,99,100,8.24,RU,1680381169
121,ereymentau,51.6199,73.1033,-3.11,47,0,6.25,KZ,1680381169
122,guerrero negro,27.9769,-114.0611,15.98,70,0,8.42,MX,1680381051
123,prado,-17.3411,-39.2208,26.53,79,0,5.24,BR,1680381170
124,anloga,5.7947,0.8973,28.09,80,94,5.71,GH,1680381170
125,sisimiut,66.9395,-53.6735,-11.83,72,16,4.84,GL,1680381170
126,yellowknife,62.456,-114.3525,-11.71,61,100,9.77,CA,1680381170
127,arraial do cabo,-22.9661,-42.0278,26.98,83,40,6.17,BR,1680381132
128,beyneu,45.3167,55.2,13.28,41,100,3.09,KZ,1680381170
129,margate,51.3813,1.3862,8.83,88,100,3.58,GB,1680381069
130,sinnamary,5.3833,-52.95,26.2,76,89,5.22,GF,1680381170
131,evensk,61.95,159.2333,-5.85,94,100,2.92,RU,1680381171
132,abha,18.2164,42.5053,15.9,82,40,4.12,SA,1680381133
133,sambava,-14.2667,50.1667,25.08,86,96,2.75,MG,1680381171
134,baijiantan,45.6333,85.1833,-0.76,27,0,5.55,CN,1680381171
135,worland,44.0169,-107.9554,11.6,44,0,8.75,US,1680381172
136,vaitape,-16.5167,-151.75,27.91,72,0,3.33,PF,1680381172
137,te anau,-45.4167,167.7167,11.25,94,88,0.37,NZ,1680381172
138,benicarlo,40.4165,0.4271,9.76,57,30,15.86,ES,1680381172
139,taitung,22.7583,121.1444,21.99,85,69,3.06,TW,1680381172
140,pec,42.6591,20.2883,6.79,88,57,1.67,XK,1680381173
141,dingle,10.9995,122.6711,24.14,88,100,2.34,PH,1680381173
142,walvis bay,-22.9575,14.5053,15.53,82,14,2.57,NA,1680381173
143,vestmanna,62.1564,-7.1664,5.51,100,100,5.14,FO,1680381174
144,vaini,-21.2,-175.2,27.09,83,20,4.12,TO,1680381174
145,upernavik,72.7868,-56.1549,-26.87,96,39,4.97,GL,1680380952
146,lakselv,70.0513,24.9718,-3.1,74,100,6.17,NO,1680381174
147,olga,43.7444,135.2892,-1.78,89,3,1.56,RU,1680381129
148,lagoa,39.05,-27.9833,15.78,89,100,10.52,PT,1680381050
149,port blair,11.6667,92.75,25.02,88,40,1.03,IN,1680381175
150,beloha,-25.1667,45.05,22.74,84,100,4.16,MG,1680381175
151,fortuna,40.5982,-124.1573,11.07,92,100,0.89,US,1680381052
152,cap malheureux,-19.9842,57.6142,26.37,74,5,0.89,MU,1680381175
153,areia branca,-4.9561,-37.1369,30.11,69,92,4.34,BR,1680381175
154,simao,22.7886,100.9748,15.55,56,1,0.71,CN,1680381176
